drugbank_id,drug_name,fda_app_n,atc_codes
DB00001,Lepirudin,NDA020807,B01AE02
DB00002,Cetuximab,BLA125084|BLA125084,L01FE01
DB00003,Dornase alfa,BLA103532,R05CB13
DB00004,Denileukin diftitox,BLA761312|BLA103767,L01XX29
DB00005,Etanercept,BLA103795|BLA103795|BLA103795|BLA103795|BLA103795|BLA103795|BLA103795|BLA103795|BLA103795|BLA103795|BLA103795|BLA103795|BLA103795|BLA103795|BLA103795|BLA103795|BLA761066|BLA761066,L04AB01
DB00006,Bivalirudin,NDA020873|NDA020873|NDA020873|NDA211215|ANDA206551|ANDA091602|ANDA202471|ANDA205962|ANDA201577|NDA020873|NDA020873|ANDA210031|ANDA210031|ANDA090189|ANDA204876|ANDA090811|ANDA091602|ANDA091602|NDA020873|ANDA213078|NDA211215|ANDA210031|NDA020873|NDA211215|NDA208374|NDA208374|NDA211215,B01AE06
DB00007,Leuprolide,NDA211488|NDA211488|NDA211488|NDA021343|NDA021379|NDA021488|NDA021731|NDA021343|NDA021379|NDA021488|NDA021731|NDA021343|NDA021379|NDA021488|NDA021731|NDA021731|NDA021343|NDA021379|NDA021488|NDA213150|NDA213150|ANDA075721|ANDA074728|ANDA075471|ANDA078885|ANDA078885|ANDA074728|ANDA074728|ANDA212963|ANDA078885|ANDA215336|ANDA213829|ANDA075471|ANDA217957|ANDA217957|ANDA217957|ANDA213829|NDA205054|NDA021343|NDA021379|NDA021488|NDA021731|NDA203696|NDA203696|NDA019010|NDA020011|NDA020011|NDA020263|NDA020263|NDA020263|NDA020517|NDA020011|NDA020517|NDA020517|NDA019732|NDA020517|NDA020708|NDA020263|NDA020263|NDA020263|NDA020263|NDA020263|NDA020263|NDA020263|NDA020263|NDA020263|NDA020263|NDA205054|NDA021379|NDA021731|NDA021488|NDA021343,L02AE51|L02AE02
DB00008,Peginterferon alfa-2a,BLA103964|BLA103964|BLA103964|BLA103964|BLA103964|BLA103964,L03AB11|L03AB61
DB00009,Alteplase,BLA103172|BLA103172|BLA103172,B01AD02|S01XA13
DB00010,Sermorelin,,V04CD03|H01AC04
DB00011,Interferon alfa-n1,,L03AB06
DB00012,Darbepoetin alfa,BLA103951|BLA103951|BLA103951|BLA103951|BLA103951|BLA103951|BLA103951|BLA103951|BLA103951|BLA103951|BLA103951|BLA103951|BLA103951|BLA103951|BLA103951|BLA103951|BLA103951|BLA103951|BLA103951|BLA103951|BLA103951|BLA103951|BLA103951|BLA103951|BLA103951|BLA103951|BLA103951|BLA103951|BLA103951|BLA103951|BLA103951|BLA103951|BLA103951|BLA103951|BLA103951|BLA103951|BLA103951|BLA103951|BLA103951|BLA103951|BLA103951|BLA103951,B03XA02
DB00013,Urokinase,,B01AD04
DB00014,Goserelin,NDA019726|NDA020578|NDA019726|NDA020578|NDA019726|NDA019726,L02AE03
DB00015,Reteplase,BLA103786|BLA103786|BLA103786|BLA103786,B01AD07
DB00016,Erythropoietin,BLA103234|BLA103234|BLA103234|BLA103234|BLA103234|BLA103234|BLA103234|BLA103234|BLA103234|BLA103234|BLA103234|BLA103234|BLA103234|BLA103234|BLA103234|BLA103234|BLA125545|BLA125545|BLA125545|BLA125545|BLA125545|BLA125545|BLA125545|BLA125545|BLA125545|BLA125545|BLA125545|BLA125545|BLA125545,B03XA01
DB00017,Salmon calcitonin,ANDA076979|NDA020313|ANDA076396|ANDA076979|ANDA076979|ANDA212416|ANDA209358|ANDA076396|ANDA215715|ANDA213766|ANDA212675|ANDA219196|ANDA216294|NDA021406|NDA021406|NDA020313|NDA017808|NDA017808|NDA020313|NDA017808|NDA017808|NDA017808,H05BA01
DB00018,Interferon alfa-n3,BLA103158,
DB00019,Pegfilgrastim,BLA761075|BLA761075|BLA761084|BLA125031|BLA125031|BLA125031|BLA761111|BLA761173|BLA761173|BLA761039|BLA761039|BLA761039|BLA761045,L03AA13
DB00020,Sargramostim,BLA103362|BLA103362|BLA103362|BLA103362|BLA103362|BLA103362|BLA103362|BLA103362|BLA103362,L03AA09
DB00022,Peginterferon alfa-2b,BLA103949|BLA103949|BLA103949|BLA103949|BLA103949|BLA103949|BLA103949|BLA103949|BLA103949|BLA103949|BLA103949|BLA103949|BLA103949|BLA103949|BLA103949|BLA103949|BLA103949|BLA103949|BLA103949|BLA103949|BLA103949|BLA103949|BLA103949,L03AB10|L03AB60
DB00023,Asparaginase Escherichia coli,BLA101063|BLA761179,L01XX02
DB00024,Thyrotropin alfa,BLA020898|BLA020898,H01AB01
DB00025,"Antihemophilic factor, human recombinant",BLA125063|BLA125063|BLA125063|BLA125063|BLA125063|BLA125063|BLA125063|BLA125063|BLA125063|BLA125063|BLA125063|BLA125063|BLA125063|BLA125063|BLA125063|BLA125063|BLA125063|BLA125063|BLA125063|BLA125063|BLA125063|BLA125063|BLA125063|BLA125063|BLA125566|BLA125566|BLA125566|BLA125566|BLA125566|BLA125566|BLA125566|BLA125566|BLA125566|BLA125566|BLA125566|BLA125566|BLA125566|BLA125566|BLA125566|BLA125566|BLA125566|BLA125566|BLA125566|BLA125671|BLA125671|BLA103332|BLA103332|BLA103332|BLA103332|BLA103332|BLA103332|BLA103332|BLA103332|BLA103332|BLA103332|BLA103332|BLA103332|BLA103332|BLA103332|BLA103332|BLA125574|BLA125574|BLA125574|BLA125574|BLA125574|BLA125466|BLA125466|BLA125466|BLA125466|BLA125466|BLA125466|BLA103375|BLA103375|BLA103375|BLA103375|BLA103375|BLA103375|BLA103375|BLA103375,B02BD02
DB00026,Anakinra,BLA103950,L04AC03
DB00027,Gramicidin D,ANDA064047|ANDA064047|ANDA064047|ANDA064047|ANDA064047|ANDA065187|ANDA064047|ANDA064047|ANDA060582|ANDA060582,R02AB30
DB00028,Human immunoglobulin G,BLA125743|BLA125590|BLA125389|BLA125389|BLA125389|BLA125389|BLA125389|BLA102367|BLA102367|BLA102367|BLA125668|BLA125668|BLA125668|BLA125668|BLA125668|BLA125668|BLA125668|BLA125596|BLA125077|BLA125077|BLA125077|BLA101134|BLA101134|BLA125105|BLA125105|BLA103133|BLA103133|BLA103133|BLA103133|BLA103133|BLA103133|BLA103133|BLA125046|BLA125329|BLA125329|BLA125046|BLA125046|BLA125350|BLA125350|BLA125350|BLA125350|BLA125350|BLA125350|BLA125350|BLA125402|BLA125402|BLA125402|BLA125402|BLA125402|BLA125402|BLA125402|BLA125402|BLA125402|BLA125402|part356|BLA125062|BLA125062|BLA125062|BLA125062|BLA125062|BLA125062|BLA125062|BLA125062|BLA125062|BLA125062|BLA125062|BLA125062|BLA125062|BLA125587|BLA125587|BLA125587|BLA125587|BLA125587|BLA125587|BLA125587|BLA125587|BLA125201|BLA125201|BLA125201|BLA125201|BLA125822|BLA125115|BLA103649|BLA103649|BLA103649|BLA103649|BLA103649|BLA125683|BLA125810,
DB00029,Anistreplase,,B01AD03
DB00030,Insulin human,NDA022472|NDA022472|NDA022472|NDA022472|NDA022472|NDA022472|NDA022472|NDA022472|NDA022472|NDA022472|NDA022472|NDA022472|NDA022472|NDA022472|NDA022472|NDA022472|NDA022472|NDA022472|NDA022472|NDA022472|NDA022472|BLA022472|BLA022472|BLA022472|BLA022472|BLA022472|BLA022472|BLA022472|BLA022472|BLA022472|BLA022472|BLA022472|BLA022472|BLA022472|BLA022472|BLA022472|NDA019717|NDA020100|NDA019717|BLA019717|NDA019717|BLA019717|NDA019377|NDA018781|NDA018781|BLA018781|BLA018781|NDA018780|BLA018780|BLA018780|BLA018780|BLA018780|BLA018780|NDA019571|BLA208157|NDA019991|NDA019991|NDA019991|NDA019991|NDA019991|NDA019991|NDA019991|BLA019991|BLA019991|BLA019991|NDA019959|NDA019959|NDA019959|NDA019959|NDA019959|BLA019959|BLA019959|BLA019959|BLA019959|NDA019938|NDA019938|NDA019938|NDA019938|NDA019938|BLA019938|BLA019938|BLA019938|BLA019938|NDA019991|NDA019959,A10AC01|A10AE01|A10AB01|A10AD01|A10AF01
DB00031,Tenecteplase,BLA103909|BLA103909|BLA103909|BLA103909,B01AD11
DB00032,Menotropins,,G03GA02|G03GA03
DB00033,Interferon gamma-1b,BLA103836|BLA103836|BLA103836,
DB00034,Interferon alfa-2a,BLA103145|BLA103145|BLA103145,L03AB04
