,DrugBank_id,Drug_ATC,Drug_name,Tipo,Gene_name,Accion,Prioridad
0,DB00001,B01AE02,Lepirudin,target,F2,inhibitor,1.0
26,DB00002,L01FE01,Cetuximab,target,EGFR,binder,1.0
27,DB00002,L01FE01,Cetuximab,target,FCGR3B,binder,1.0
28,DB00002,L01FE01,Cetuximab,target,C1QA,binder,1.0
29,DB00002,L01FE01,Cetuximab,target,C1QB,binder,1.0
30,DB00002,L01FE01,Cetuximab,target,C1QC,binder,1.0
31,DB00002,L01FE01,Cetuximab,target,FCGR3A,binder,1.0
32,DB00002,L01FE01,Cetuximab,target,FCGR1A,binder,1.0
33,DB00002,L01FE01,Cetuximab,target,FCGR2A,binder,1.0
34,DB00003,R05CB13,Dornase alfa,target,DNASE1,other,1.0
35,DB00004,L01XX29,Denileukin diftitox,target,IL2RA,ligand,1.0
36,DB00004,L01XX29,Denileukin diftitox,target,IL2RB,ligand,1.0
37,DB00005,L04AB01,Etanercept,target,TNF,inhibitor|antibody,1.0
38,DB00005,L04AB01,Etanercept,target,LTA,antibody,1.0
39,DB00005,L04AB01,Etanercept,target,FCGR1A,ligand,1.0
40,DB00005,L04AB01,Etanercept,target,FCGR2A,ligand,1.0
41,DB00005,L04AB01,Etanercept,target,FCGR2B,ligand,1.0
42,DB00005,L04AB01,Etanercept,target,FCGR2C,ligand,1.0
43,DB00005,L04AB01,Etanercept,target,FCGR3A,ligand,1.0
44,DB00005,L04AB01,Etanercept,target,FCGR3B,ligand,1.0
45,DB00005,L04AB01,Etanercept,target,C1QA,ligand,1.0
46,DB00006,B01AE06,Bivalirudin,target,F2,inhibitor,1.0
129,DB00007,L02AE51,Leuprolide,target,GNRHR,agonist,1.0
130,DB00007,L02AE02,Leuprolide,target,GNRHR,agonist,1.0
220,DB00007,L02AE51,Leuprolide,target,GNRH1,activator,1.0
221,DB00007,L02AE02,Leuprolide,target,GNRH1,activator,1.0
311,DB00008,L03AB11,Peginterferon alfa-2a,target,IFNAR2,agonist,1.0
312,DB00008,L03AB61,Peginterferon alfa-2a,target,IFNAR2,agonist,1.0
313,DB00008,L03AB11,Peginterferon alfa-2a,target,IFNAR1,agonist,1.0
314,DB00008,L03AB61,Peginterferon alfa-2a,target,IFNAR1,agonist,1.0
315,DB00008,L03AB11,Peginterferon alfa-2a,target,IFNA2,modulator,1.0
316,DB00008,L03AB61,Peginterferon alfa-2a,target,IFNA2,modulator,1.0
317,DB00008,L03AB11,Peginterferon alfa-2a,enzyme,CYP1A2,inhibitor,1.0
318,DB00008,L03AB61,Peginterferon alfa-2a,enzyme,CYP1A2,inhibitor,1.0
319,DB00009,B01AD02,Alteplase,target,PLG,activator,1.0
320,DB00009,S01XA13,Alteplase,target,PLG,activator,1.0
321,DB00009,B01AD02,Alteplase,target,FGA,binder,1.0
322,DB00009,S01XA13,Alteplase,target,FGA,binder,1.0
323,DB00009,B01AD02,Alteplase,target,FGG,binder,1.0
324,DB00009,S01XA13,Alteplase,target,FGG,binder,1.0
325,DB00009,B01AD02,Alteplase,target,SERPINE1,,1.0
326,DB00009,S01XA13,Alteplase,target,SERPINE1,,1.0
327,DB00010,V04CD03,Sermorelin,target,GHRHR,agonist,1.0
328,DB00010,H01AC04,Sermorelin,target,GHRHR,agonist,1.0
329,DB00011,L03AB06,Interferon alfa-n1,target,IFNAR1,agonist,1.0
330,DB00011,L03AB06,Interferon alfa-n1,target,IFNAR2,agonist,1.0
331,DB00011,L03AB06,Interferon alfa-n1,enzyme,CYP1A2,inhibitor,1.0
332,DB00012,B03XA02,Darbepoetin alfa,target,EPOR,agonist,1.0
333,DB00013,B01AD04,Urokinase,target,PLG,activator,1.0
334,DB00013,B01AD04,Urokinase,target,PLAUR,inducer|modulator,1.0
335,DB00013,B01AD04,Urokinase,target,SERPINE1,substrate|inducer,1.0
336,DB00013,B01AD04,Urokinase,target,SERPINB2,substrate|inducer,1.0
337,DB00013,B01AD04,Urokinase,target,PLAU,modulator,1.0
338,DB00013,B01AD04,Urokinase,target,SERPINA5,substrate,1.0
339,DB00013,B01AD04,Urokinase,target,LRP2,substrate,1.0
340,DB00013,B01AD04,Urokinase,target,ST14,substrate,1.0
341,DB00013,B01AD04,Urokinase,target,NID1,ligand,1.0
342,DB00014,L02AE03,Goserelin,target,LHCGR,agonist,1.0
490,DB00014,L02AE03,Goserelin,target,GNRHR,agonist,1.0
638,DB00014,L02AE03,Goserelin,target,GNRH1,activator,1.0
786,DB00015,B01AD07,Reteplase,target,PLG,activator,1.0
787,DB00015,B01AD07,Reteplase,target,FGA,,1.0
788,DB00015,B01AD07,Reteplase,target,SERPINE1,,1.0
789,DB00016,B03XA01,Erythropoietin,target,EPOR,agonist,1.0
832,DB00017,H05BA01,Salmon calcitonin,target,CALCR,agonist,1.0
895,DB00018,,Interferon alfa-n3,target,IFNAR1,agonist,1.0
896,DB00018,,Interferon alfa-n3,target,IFNAR2,agonist,1.0
897,DB00018,,Interferon alfa-n3,enzyme,CYP1A2,inhibitor,1.0
898,DB00019,L03AA13,Pegfilgrastim,target,CSF3R,agonist,1.0
899,DB00020,L03AA09,Sargramostim,target,CSF2RA,agonist,1.0
900,DB00020,L03AA09,Sargramostim,target,IL3RA,agonist,1.0
901,DB00020,L03AA09,Sargramostim,target,CSF2RB,agonist,1.0
902,DB00020,L03AA09,Sargramostim,target,SDC2,agonist,1.0
903,DB00022,L03AB10,Peginterferon alfa-2b,target,IFNAR1,agonist,0.0
904,DB00022,L03AB60,Peginterferon alfa-2b,target,IFNAR1,agonist,0.0
905,DB00022,L03AB10,Peginterferon alfa-2b,target,IFNAR2,agonist,0.0
906,DB00022,L03AB60,Peginterferon alfa-2b,target,IFNAR2,agonist,0.0
907,DB00022,L03AB10,Peginterferon alfa-2b,target,IFNA2,modulator,0.0
908,DB00022,L03AB60,Peginterferon alfa-2b,target,IFNA2,modulator,0.0
909,DB00022,L03AB10,Peginterferon alfa-2b,enzyme,CYP1A2,inhibitor,0.0
910,DB00022,L03AB60,Peginterferon alfa-2b,enzyme,CYP1A2,inhibitor,0.0
911,DB00022,L03AB10,Peginterferon alfa-2b,enzyme,CYP2D6,inhibitor,0.0
912,DB00022,L03AB60,Peginterferon alfa-2b,enzyme,CYP2D6,inhibitor,0.0
913,DB00022,L03AB10,Peginterferon alfa-2b,enzyme,CYP2C9,inducer,0.0
914,DB00022,L03AB60,Peginterferon alfa-2b,enzyme,CYP2C9,inducer,0.0
915,DB00023,L01XX02,Asparaginase Escherichia coli,target,,other/unknown,1.0
916,DB00024,H01AB01,Thyrotropin alfa,target,TSHR,agonist,1.0
917,DB00025,B02BD02,"Antihemophilic factor, human recombinant",target,F10,activator,1.0
918,DB00025,B02BD02,"Antihemophilic factor, human recombinant",target,F9,cofactor,1.0
919,DB00025,B02BD02,"Antihemophilic factor, human recombinant",target,VWF,binder,1.0
920,DB00025,B02BD02,"Antihemophilic factor, human recombinant",target,PHYH,antagonist,1.0
921,DB00025,B02BD02,"Antihemophilic factor, human recombinant",target,ASGR2,binder,1.0
922,DB00025,B02BD02,"Antihemophilic factor, human recombinant",target,HSPA5,chaperone,1.0
923,DB00025,B02BD02,"Antihemophilic factor, human recombinant",target,CALR,chaperone,1.0
924,DB00025,B02BD02,"Antihemophilic factor, human recombinant",target,CANX,chaperone,1.0
925,DB00025,B02BD02,"Antihemophilic factor, human recombinant",target,LMAN1,binder|transporter,1.0
926,DB00025,B02BD02,"Antihemophilic factor, human recombinant",target,LRP1,modulator,1.0
927,DB00025,B02BD02,"Antihemophilic factor, human recombinant",target,MCFD2,modulator,1.0
928,DB00026,L04AC03,Anakinra,target,IL1R1,antagonist,1.0
929,DB00027,R02AB30,Gramicidin D,target,folP,binder,1.0
930,DB00028,,Human immunoglobulin G,target,FCGR1A,antagonist,1.0
931,DB00028,,Human immunoglobulin G,target,FCGR1BP,antagonist,1.0
932,DB00028,,Human immunoglobulin G,target,FCGR2A,antagonist,1.0
933,DB00028,,Human immunoglobulin G,target,FCGR2B,antagonist,1.0
934,DB00028,,Human immunoglobulin G,target,FCGR2C,antagonist,1.0
935,DB00028,,Human immunoglobulin G,target,FCGR3A,antagonist,1.0
936,DB00028,,Human immunoglobulin G,target,FCGR3B,antagonist,1.0
937,DB00028,,Human immunoglobulin G,target,C3,binder,1.0
938,DB00028,,Human immunoglobulin G,target,C4A,binder,1.0
939,DB00028,,Human immunoglobulin G,target,C4B,binder,1.0
940,DB00028,,Human immunoglobulin G,target,C5,binder,1.0
941,DB00029,B01AD03,Anistreplase,target,PLG,activator,1.0
942,DB00029,B01AD03,Anistreplase,target,FGA,,1.0
943,DB00029,B01AD03,Anistreplase,target,SERPINE1,,1.0
944,DB00030,A10AC01,Insulin human,target,INSR,agonist,1.0
989,DB00030,A10AE01,Insulin human,target,INSR,agonist,1.0
1034,DB00030,A10AB01,Insulin human,target,INSR,agonist,1.0
1079,DB00030,A10AD01,Insulin human,target,INSR,agonist,1.0
1124,DB00030,A10AF01,Insulin human,target,INSR,agonist,1.0
1169,DB00030,A10AC01,Insulin human,target,IGF1R,activator,1.0
1214,DB00030,A10AE01,Insulin human,target,IGF1R,activator,1.0
1259,DB00030,A10AB01,Insulin human,target,IGF1R,activator,1.0
1304,DB00030,A10AD01,Insulin human,target,IGF1R,activator,1.0
1349,DB00030,A10AF01,Insulin human,target,IGF1R,activator,1.0
1394,DB00030,A10AC01,Insulin human,target,CPE,modulator|product of,1.0
1439,DB00030,A10AE01,Insulin human,target,CPE,modulator|product of,1.0
1484,DB00030,A10AB01,Insulin human,target,CPE,modulator|product of,1.0
1529,DB00030,A10AD01,Insulin human,target,CPE,modulator|product of,1.0
1574,DB00030,A10AF01,Insulin human,target,CPE,modulator|product of,1.0
1619,DB00030,A10AC01,Insulin human,target,CCN3,downregulator,1.0
1664,DB00030,A10AE01,Insulin human,target,CCN3,downregulator,1.0
1709,DB00030,A10AB01,Insulin human,target,CCN3,downregulator,1.0
1754,DB00030,A10AD01,Insulin human,target,CCN3,downregulator,1.0
1799,DB00030,A10AF01,Insulin human,target,CCN3,downregulator,1.0
1844,DB00030,A10AC01,Insulin human,target,LRP2,substrate,1.0
1889,DB00030,A10AE01,Insulin human,target,LRP2,substrate,1.0
1934,DB00030,A10AB01,Insulin human,target,LRP2,substrate,1.0
1979,DB00030,A10AD01,Insulin human,target,LRP2,substrate,1.0
2024,DB00030,A10AF01,Insulin human,target,LRP2,substrate,1.0
2069,DB00030,A10AC01,Insulin human,target,IGFBP7,inhibitor|binder,1.0
2114,DB00030,A10AE01,Insulin human,target,IGFBP7,inhibitor|binder,1.0
2159,DB00030,A10AB01,Insulin human,target,IGFBP7,inhibitor|binder,1.0
2204,DB00030,A10AD01,Insulin human,target,IGFBP7,inhibitor|binder,1.0
2249,DB00030,A10AF01,Insulin human,target,IGFBP7,inhibitor|binder,1.0
2294,DB00030,A10AC01,Insulin human,enzyme,CYP1A2,inducer,1.0
2339,DB00030,A10AE01,Insulin human,enzyme,CYP1A2,inducer,1.0
2384,DB00030,A10AB01,Insulin human,enzyme,CYP1A2,inducer,1.0
2429,DB00030,A10AD01,Insulin human,enzyme,CYP1A2,inducer,1.0
2474,DB00030,A10AF01,Insulin human,enzyme,CYP1A2,inducer,1.0
