Drug_ATC,Drug_name,Side_effect,Freq_media
A16AA01,carnitine,Abdominal pain,0.1159999999999999
A16AA01,carnitine,Gastrointestinal pain,0.116
A16AA01,carnitine,Amblyopia,0.0366666666666666
A16AA01,carnitine,Anaemia,0.0579999999999999
A16AA01,carnitine,Decreased appetite,0.0424999999999999
A16AA01,carnitine,Anxiety,0.0266666666666666
A16AA01,carnitine,Arrhythmia,0.0333333333333333
A16AA01,carnitine,Asthenia,0.0925
A16AA01,carnitine,Atrial fibrillation,0.04
A16AA01,carnitine,Back pain,0.0825
A16AA01,carnitine,Bronchitis,0.04
A16AA01,carnitine,Cardiovascular disorder,0.05
A16AA01,carnitine,Chest pain,0.1175
A16AA01,carnitine,Infection,0.165
A16AA01,carnitine,Constipation,0.045
A16AA01,carnitine,Cough,0.1325
A16AA01,carnitine,Depression,0.0466666666666666
A16AA01,carnitine,Diarrhoea,0.178
A16AA01,carnitine,Dizziness,0.134
A16AA01,carnitine,Dysgeusia,0.0466666666666666
A16AA01,carnitine,Dyspepsia,0.075
A16AA01,carnitine,Dyspnoea,0.1
A16AA01,carnitine,Rash,0.0366666666666666
A16AA01,carnitine,Dermatitis,0.0366666666666666
A16AA01,carnitine,Eye disorder,0.04
A16AA01,carnitine,Body temperature increased,0.0699999999999999
A16AA01,carnitine,Gastrointestinal disorder,0.0325
A16AA01,carnitine,Headache,0.18
A16AA01,carnitine,Haemorrhage,0.048
A16AA01,carnitine,Haemoglobin,0.048
A16AA01,carnitine,Hypercalcaemia,0.0819999999999999
A16AA01,carnitine,Hyperkalaemia,0.06
A16AA01,carnitine,Hypersensitivity,0.0433333333333333
A16AA01,carnitine,Hypertension,0.1825
A16AA01,carnitine,Hypotension,0.1399999999999999
A16AA01,carnitine,Influenza,0.272
A16AA01,carnitine,Muscle spasms,0.0833333333333333
A16AA01,carnitine,Melaena,0.0366666666666666
A16AA01,carnitine,Hypertonia,0.03
A16AA01,carnitine,Nausea,0.088
A16AA01,carnitine,Pain,0.3339999999999999
A16AA01,carnitine,Palpitations,0.0533333333333333
A16AA01,carnitine,Parathyroid disorder,0.035
A16AA01,carnitine,Paraesthesia,0.0574999999999999
A16AA01,carnitine,Pharyngitis,0.244
A16AA01,carnitine,Pruritus,0.0725
A16AA01,carnitine,Renal failure,0.055
A16AA01,carnitine,Rhinitis,0.09
A16AA01,carnitine,Sinusitis,0.0333333333333333
A16AA01,carnitine,Tachycardia,0.0625
A16AA01,carnitine,Urinary tract infection,0.0366666666666666
A16AA01,carnitine,Angiopathy,0.0333333333333333
A16AA01,carnitine,Vertigo,0.04
A16AA01,carnitine,Vomiting,0.154
A16AA01,carnitine,Weight increased,0.0325
A16AA01,carnitine,Weight decreased,0.0475
A16AA01,carnitine,Oedema peripheral,0.0424999999999999
A16AA01,carnitine,Injection site reaction,0.3925
A16AA01,carnitine,Injury,0.1
A16AA01,carnitine,Impaired gastric emptying,0.05
A16AA01,carnitine,Gastric atony,0.05
