flat,drug_name,side_effect_se,freq_mean_y
CID100000085,carnitine,Abdominal pain,0.11599999999999999
CID100000085,carnitine,Gastrointestinal pain,0.11600000000000002
CID100000085,carnitine,Amblyopia,0.03666666666666667
CID100000085,carnitine,Anaemia,0.057999999999999996
CID100000085,carnitine,Decreased appetite,0.042499999999999996
CID100000085,carnitine,Anxiety,0.02666666666666667
CID100000085,carnitine,Arrhythmia,0.03333333333333333
CID100000085,carnitine,Asthenia,0.0925
CID100000085,carnitine,Atrial fibrillation,0.04
CID100000085,carnitine,Back pain,0.0825
CID100000085,carnitine,Bronchitis,0.04
CID100000085,carnitine,Cardiovascular disorder,0.05
CID100000085,carnitine,Chest pain,0.1175
CID100000085,carnitine,Infection,0.165
CID100000085,carnitine,Constipation,0.045
CID100000085,carnitine,Cough,0.1325
CID100000085,carnitine,Depression,0.04666666666666667
CID100000085,carnitine,Diarrhoea,0.178
CID100000085,carnitine,Dizziness,0.134
CID100000085,carnitine,Dysgeusia,0.04666666666666667
CID100000085,carnitine,Dyspepsia,0.075
CID100000085,carnitine,Dyspnoea,0.1
CID100000085,carnitine,Rash,0.03666666666666667
CID100000085,carnitine,Dermatitis,0.03666666666666667
CID100000085,carnitine,Eye disorder,0.04
CID100000085,carnitine,Body temperature increased,0.06999999999999999
CID100000085,carnitine,Gastrointestinal disorder,0.0325
CID100000085,carnitine,Headache,0.18
CID100000085,carnitine,Haemorrhage,0.048
CID100000085,carnitine,Haemoglobin,0.048
CID100000085,carnitine,Hypercalcaemia,0.08199999999999999
CID100000085,carnitine,Hyperkalaemia,0.06
CID100000085,carnitine,Hypersensitivity,0.043333333333333335
CID100000085,carnitine,Hypertension,0.1825
CID100000085,carnitine,Hypotension,0.13999999999999999
CID100000085,carnitine,Influenza,0.272
CID100000085,carnitine,Muscle spasms,0.08333333333333333
CID100000085,carnitine,Melaena,0.03666666666666667
CID100000085,carnitine,Hypertonia,0.03
CID100000085,carnitine,Nausea,0.088
CID100000085,carnitine,Pain,0.33399999999999996
CID100000085,carnitine,Palpitations,0.05333333333333334
CID100000085,carnitine,Parathyroid disorder,0.035
CID100000085,carnitine,Paraesthesia,0.057499999999999996
CID100000085,carnitine,Pharyngitis,0.244
CID100000085,carnitine,Pruritus,0.07250000000000001
CID100000085,carnitine,Renal failure,0.055
CID100000085,carnitine,Rhinitis,0.09
